Team,Location,Current Stadium,Coordinates
Atalanta,Bergamo,Gewiss Stadium,"45°42′32″N, 9°40′51″E"
Bologna,Bologna,Stadio Renato Dall'Ara,"44°29′32″N, 11°18′35″E"
Cagliari,Cagliari,Sardegna Arena,"39°12′00″N, 09°08′15″E"
Empoli,Empoli,Stadio Carlo Castellani,"43°43′35″N, 10°57′18″E"
Fiorentina,Florence,Stadio Artemio Franchi,"43°46′51″N, 11°16′56″E"
Frosinone,Frosinone,Stadio Benito Stirpe,"41°38′03″N, 13°19′19″E"
Genoa,Genoa,Stadio Luigi Ferraris,"44°24′59″N, 8°57′9″E"
Hellas Verona,Verona,Marcantonio Bentegodi,"45°26′7″N, 10°58′7″E"
Inter Milan,Milan,Giuseppe Meazza,"45°28′41″N, 9°7′26″E"
Juventus,Turin,Allianz Stadium,"45°6′34″N, 7°38′28″E"
Lazio,Rome,Stadio Olimpico,"41°56′02″N, 12°27′17″E"
Lecce,Lecce,Stadio Ettore Giardiniero - Via del Mare,"40°21′55″N, 18°12′32″E"
AC Milan,Milan,Giuseppe Meazza,"45°28′41″N, 9°7′26″E"
Monza,Monza,Stadio Brianteo,"45°34′58″N, 9°18′29″E"
Napoli,Naples,Stadio Diego Armando Maradona,"40°49′41″N, 14°11′35″E"
Roma,Rome,Stadio Olimpico,"41°56′02″N, 12°27′17″E"
Salernitana,Salerno,Stadio Arechi,"40°38′42″N, 14°49′26″E"
Sassuolo,Sassuolo,Mappei Stadium - Città del Tricolore,"44°42′53″N, 10°38′59″E"
Torino,Turin,Stadio Olimpico Grande Torino,"45°2′30″N, 7°39′0″E"
Udinese,Udine,Stadio Friuli,"46°04′54″N, 13°12′00″E"
